61, 36
301, 304
461, 196
541, 152
701, 140
1021, 204
1101, 94
1261, 114
1421, 20
1501, 212
93, 104
173, 116
253, 72
333, 50
413, 214
733, 166
813, 104
973, 30
1053, 144
1133, 140
1213, 84
1293, 174
1453, 28
1533, 136
45, 140
125, 50
205, 20
285, 112
445, 186
765, 56
845, 104
1005, 46
1165, 50
1245, 216
1325, 212
1405, 68
1485, 116
1565, 106
157, 256
237, 220
317, 116
477, 220
557, 124
637, 82
717, 112
797, 172
1037, 46
1117, 70
1277, 174
1357, 74
1517, 74
1597, 94
29, 22
109, 34
349, 116
429, 136
509, 172
669, 68
749, 136
829, 68
909, 72
1149, 20
1229, 74
1309, 60
1549, 58
